"","title","state","rating","multiple_locations","description","year","word_count","year_bin","ai_info","gpt_41_primary_sub_genre","gpt_41_secondary_sub_genre","gpt_41_tertiary_sub_genre","gpt_41_protagonist_type","gpt_41_antagonist_type","gpt_41_protagonist_gender","gpt_41_antagonist_gender","gpt_41_protagonist_age","gpt_41_antagonist_age","gpt_41_setting_time","gpt_41_setting_location"
"2256","Venom","Louisiana",4.6,FALSE,"A group of teenagers fear for their lives in the swamps of Louisiana, chased by Mr. Jangles, a man possessed by 13 evil souls, and now relentless in his pursuit of new victims.",2005,33,"x00_10","The movie is ""Venom"" filmed in 2005. This is the IMDb summary: A group of teenagers fear for their lives in the swamps of Louisiana, chased by Mr. Jangles, a man possessed by 13 evil souls, and now relentless in his pursuit of new victims.","possession","slasher","backwoods horror","human","possessed human","unknown","male","18-30","30-50","present","rural"
"2257","Victor Crowley","Louisiana",5.5,FALSE,"Ten years after the events of the original movie, Victor Crowley is mistakenly resurrected and proceeds to kill once more.",2017,20,"x10_20","The movie is ""Victor Crowley"" filmed in 2017. This is the IMDb summary: Ten years after the events of the original movie, Victor Crowley is mistakenly resurrected and proceeds to kill once more.","slasher","neo-monsters","splatter","human","non-human entity","male","male","30-50","30-50","present","rural"
"2258","Video Murders","Louisiana",4.5,FALSE,"David Lee Shepherd, who desperately wants work in the video business, is luring hookers into his hotel room so that he can videotape himself strangling them. The police conclude that a serial killer is at work and thus begins an intense manhunt.",1988,42,"x80_90","The movie is ""Video Murders"" filmed in 1988. This is the IMDb summary: David Lee Shepherd, who desperately wants work in the video business, is luring hookers into his hotel room so that he can videotape himself strangling them. The police conclude that a serial killer is at work and thus begins an intense manhunt.","slasher","madness","phobia","human","human","male","male","30-50","30-50","present","house"
"2259","Voodoo Dawn","Louisiana",3.6,FALSE,"A criminal hiding out in a remote area in the Louisiana bayou learns the art of voodoo. His enemies quickly learn of his powers and must battle him before he casts a particularly diabolical curse.",1998,35,"x90_00","The movie is ""Voodoo Dawn"" filmed in 1998. This is the IMDb summary: A criminal hiding out in a remote area in the Louisiana bayou learns the art of voodoo. His enemies quickly learn of his powers and must battle him before he casts a particularly diabolical curse.","witches","folk horror","devils, demons, and hell","human","human with extra powers","male","male","30-50","30-50","present","rural"
"2260","Voodoo Tailz","Louisiana",2.2,FALSE,"A Mardi Gras vacation for three college women becomes a nightmare when they find themselves cursed by a voodoo witch and stalked by the Grim Reaper.",2002,26,"x00_10","The movie is ""Voodoo Tailz"" filmed in 2002. This is the IMDb summary: A Mardi Gras vacation for three college women becomes a nightmare when they find themselves cursed by a voodoo witch and stalked by the Grim Reaper.","witches","devils, demons, and hell","slasher","human","non-human entity","female","androgynous","18-30","unknown","present","big city"
"2261","When the Bough Breaks","Louisiana",5.1,FALSE,"A surrogate mom for a couple becomes dangerously obsessed with the soon-to-be father.",2016,15,"x10_20","The movie is ""When the Bough Breaks"" filmed in 2016. This is the IMDb summary: A surrogate mom for a couple becomes dangerously obsessed with the soon-to-be father.","madness","home invasion","phobia","human","human","female","female","30-50","18-30","present","house"
"2262","When the Time Comes","Louisiana",7.2,FALSE,"A grieving husband chooses to fulfill his wife’s dying wish by leaving the safety of his home and venturing into an apocalyptic landscape in search of a cherished memento.",2022,29,"over_20","The movie is ""When the Time Comes"" filmed in 2022. This is the IMDb summary: A grieving husband chooses to fulfill his wife’s dying wish by leaving the safety of his home and venturing into an apocalyptic landscape in search of a cherished memento.","post-apocalyptic","phobia","folk horror","human","unknown","male","unknown","30-50","unknown","future","rural"
"2263","Witchboard","Louisiana",5.3,FALSE,"A cursed Witchboard awakens dark forces, dragging a young couple into a deadly game of possession and deception",2025,18,"over_20","The movie is ""Witchboard"" filmed in 2025. This is the IMDb summary: A cursed Witchboard awakens dark forces, dragging a young couple into a deadly game of possession and deception","possession","witches","devils, demons, and hell","human","non-human entity","unknown","androgynous","18-30","unknown","present","house"
"2264","Wolvesbayne","Louisiana",3.7,FALSE,"A supernatural thriller that follows Russel Bayne who quickly finds himself in the middle of a supernatural war between vampires, werewolves, and human hunters after being bitten by a werewolf. To make matters worse, it seems a civil war has erupted among the vampires, with a clan breaking from the others in a quest to return a vampire goddess back to power.",2009,62,"x00_10","The movie is ""Wolvesbayne"" filmed in 2009. This is the IMDb summary: A supernatural thriller that follows Russel Bayne who quickly finds himself in the middle of a supernatural war between vampires, werewolves, and human hunters after being bitten by a werewolf. To make matters worse, it seems a civil war has erupted among the vampires, with a clan breaking from the others in a quest to return a vampire goddess back to power.","werewolf","vampire","devils, demons, and hell","human with extra powers","non-human entity","male","androgynous","30-50","unknown","present","big city"
"2265","Wounds","Louisiana",4.1,FALSE,"Disturbing and mysterious things begin to happen to a bartender in New Orleans after he picks up a phone left behind at his bar.",2019,24,"x10_20","The movie is ""Wounds"" filmed in 2019. This is the IMDb summary: Disturbing and mysterious things begin to happen to a bartender in New Orleans after he picks up a phone left behind at his bar.","madness","Lovecraftian/Cosmic horror","phobia","human","non-human entity","male","androgynous","18-30","unknown","present","big city"
"2266","You Might Be the Killer","Louisiana",6,FALSE,"A camp counselor suffering from blackouts finds himself surrounded by murder victims. He turns to his horror movie enthusiast friend for advice, and to contend with the idea he may be the killer.",2018,33,"x10_20","The movie is ""You Might Be the Killer"" filmed in 2018. This is the IMDb summary: A camp counselor suffering from blackouts finds himself surrounded by murder victims. He turns to his horror movie enthusiast friend for advice, and to contend with the idea he may be the killer.","slasher","madness","horror comedy","human","human","male","male","18-30","18-30","present","rural"
"2267","Zombie 5: Killing Birds","Louisiana",3.5,FALSE,"A group of college students go into the woods to study birds. They encounter a strange blind man who's connected to the killer zombies that prowl a dilapidated house deep in the forest.",1988,33,"x80_90","The movie is ""Zombie 5: Killing Birds"" filmed in 1988. This is the IMDb summary: A group of college students go into the woods to study birds. They encounter a strange blind man who's connected to the killer zombies that prowl a dilapidated house deep in the forest.","zombies","classic and mythological","phobia","human","non-human entity","unknown","androgynous","18-30","unknown","present","forest"
"2268","Zombie Hamlet","Louisiana",4.6,FALSE,"An ambitious filmmaker plots a re-imagining of Hamlet set during the American Civil War, but when he loses his large budget he has to accept much less money--which means making major script changes.",2012,35,"x10_20","The movie is ""Zombie Hamlet"" filmed in 2012. This is the IMDb summary: An ambitious filmmaker plots a re-imagining of Hamlet set during the American Civil War, but when he loses his large budget he has to accept much less money--which means making major script changes.","horror comedy","zombies","parody horror","human","unknown","male","unknown","30-50","unknown","present","unknown"
"2269","The Rougarou","Louisiana",6.3,FALSE,"A father tells his daughter a cautionary tale to keep her out of trouble.",2019,14,"x10_20","The movie is ""The Rougarou"" filmed in 2019. This is the IMDb summary: A father tells his daughter a cautionary tale to keep her out of trouble.","classic and mythological","folk horror","phobia","human","non-human entity","male","androgynous","30-50","unknown","present","rural"
"2270","Tarot Curse","Louisiana",4.9,FALSE,"After a Tarot reading in New Orleans, a group of students are horrified to realize the cards are predicting their gruesome deaths-one by one.",2025,25,"over_20","The movie is ""Tarot Curse"" filmed in 2025. This is the IMDb summary: After a Tarot reading in New Orleans, a group of students are horrified to realize the cards are predicting their gruesome deaths-one by one.","devils, demons, and hell","supernatural power","slasher","human","non-human entity","female","androgynous","18-30","unknown","present","small town"
"2271","2 Lava 2 Lantula!","Florida",4.2,FALSE,"Colton West must defeat the lavalantulas once again.",2016,8,"x10_20","The movie is ""2 Lava 2 Lantula!"" filmed in 2016. This is the IMDb summary: Colton West must defeat the lavalantulas once again.","neo-monsters","horror comedy","nature","human","non-human entity","male","androgynous","30-50","unknown","present","big city"
"2272","CobraGator","Florida",5.6,FALSE,"A gigantic, mutated reptile attacks the population of an unprepared city.",2015,11,"x10_20","The movie is ""CobraGator"" filmed in 2015. This is the IMDb summary: A gigantic, mutated reptile attacks the population of an unprepared city.","giant creatures","neo-monsters","nature","human","non-human entity","unknown","androgynous","unknown","unknown","present","big city"
"2273","Kruel","Florida",3.9,FALSE,"Kruel' - is a horror/thriller feature length movie about a psychotic killer who masquerades as an ice cream man in order to get closer to the objects of his affection.",2015,30,"x10_20","The movie is ""Kruel"" filmed in 2015. This is the IMDb summary: Kruel' - is a horror/thriller feature length movie about a psychotic killer who masquerades as an ice cream man in order to get closer to the objects of his affection.","slasher","madness","phobia","human","human","female","male","18-30","30-50","present","small town"
"2274","Spring Break Shark Attack","Florida",3.5,FALSE,"Killer sharks invade the waters off the Florida coast as co-eds celebrate spring break.",2005,15,"x00_10","The movie is ""Spring Break Shark Attack"" filmed in 2005. This is the IMDb summary: Killer sharks invade the waters off the Florida coast as co-eds celebrate spring break.","nature","slasher","phobia","human","non-human entity","female","androgynous","18-30","unknown","present","rural"
"2275","A Blood Story","Florida",3.1,FALSE,"Three strangers find themselves at a villa, each with the same goal of discovering the Fountain of Youth, rumored to be nearby. One by one they succumb to the carnal perversions and depraved delights provided by the villa, unaware they are pawns in the resurrection of a centuries old evil.",2015,50,"x10_20","The movie is ""A Blood Story"" filmed in 2015. This is the IMDb summary: Three strangers find themselves at a villa, each with the same goal of discovering the Fountain of Youth, rumored to be nearby. One by one they succumb to the carnal perversions and depraved delights provided by the villa, unaware they are pawns in the resurrection of a centuries old evil.","vampire","body horror","madness","human","non-human entity","unknown","androgynous","30-50","50+","present","house"
"2276","Abbott and Costello Meet Frankenstein","Florida",7.3,FALSE,"Two hapless freight handlers find themselves encountering Dracula, the Frankenstein Monster and the Wolf Man.",1948,15,"x40_50","The movie is ""Abbott and Costello Meet Frankenstein"" filmed in 1948. This is the IMDb summary: Two hapless freight handlers find themselves encountering Dracula, the Frankenstein Monster and the Wolf Man.","classic and mythological","horror comedy","vampire","human","non-human entity","male","androgynous","18-30","unknown","present","big city"
"2277","After Midnight","Florida",5.2,FALSE,"When his girlfriend suddenly disappears, leaving a cryptic note as her only explanation, Hank's comfortable life and his sanity begin to crack. Then, from the woods surrounding his house, something terrible starts trying to break in.",2019,36,"x10_20","The movie is ""After Midnight"" filmed in 2019. This is the IMDb summary: When his girlfriend suddenly disappears, leaving a cryptic note as her only explanation, Hank's comfortable life and his sanity begin to crack. Then, from the woods surrounding his house, something terrible starts trying to break in.","phobia","neo-monsters","madness","human","non-human entity","male","androgynous","30-50","unknown","present","house"
"2278","Agoraphobia","Florida",3.4,FALSE,"An agoraphobic inherits her father's house in a remote part of the Florida Keys. When weird things start happening, she discovers that there's something far more terrifying trapped inside the house with her.",2015,33,"x10_20","The movie is ""Agoraphobia"" filmed in 2015. This is the IMDb summary: An agoraphobic inherits her father's house in a remote part of the Florida Keys. When weird things start happening, she discovers that there's something far more terrifying trapped inside the house with her.","phobia","haunted house","ghost and spirits","human","non-human entity","female","androgynous","18-30","unknown","present","house"
"2279","Aileen Wuornos: American Boogeywoman","Florida",3.8,FALSE,"The early years of notorious serial killer Aileen Wuornos, who marries a wealthy, older man in 1976, only to inflict mayhem within her new family and Florida's high society.",2021,29,"over_20","The movie is ""Aileen Wuornos: American Boogeywoman"" filmed in 2021. This is the IMDb summary: The early years of notorious serial killer Aileen Wuornos, who marries a wealthy, older man in 1976, only to inflict mayhem within her new family and Florida's high society.","slasher","madness","phobia","human","human","female","female","18-30","18-30","past","house"
"2280","All the Devils Are Here","Florida",5,FALSE,"Five college students on a backwoods excursion encounter a deadly, nocturnal presence. As horrific events unfold, the group joins forces with a town local and a prison escapee and attempt to survive the night.",2014,34,"x10_20","The movie is ""All the Devils Are Here"" filmed in 2014. This is the IMDb summary: Five college students on a backwoods excursion encounter a deadly, nocturnal presence. As horrific events unfold, the group joins forces with a town local and a prison escapee and attempt to survive the night.","backwoods horror","neo-monsters","phobia","human","non-human entity","unknown","androgynous","18-30","unknown","present","rural"
"2281","Alligator Alley","Florida",4,FALSE,"Two brothers fed up with daily life, quit their blue-collar jobs and with a single-minded determination head off to the paradise promise of Key West! But pool sharks, mermaids, tourist traps, and feisty alligators are just a few of the surprises that threaten to derail their not-so-well made plans.",2000,53,"x00_10","The movie is ""Alligator Alley"" filmed in 2000. This is the IMDb summary: Two brothers fed up with daily life, quit their blue-collar jobs and with a single-minded determination head off to the paradise promise of Key West! But pool sharks, mermaids, tourist traps, and feisty alligators are just a few of the surprises that threaten to derail their not-so-well made plans.","nature","horror comedy","phobia","human","non-human entity","male","androgynous","18-30","unknown","present","rural"
"2282","Altered","Florida",5.6,FALSE,"Fifteen years ago, a group of men's lives were forever changed by a strange occurrence. Now, the same group of men will spend a night together - in terror.",2006,28,"x00_10","The movie is ""Altered"" filmed in 2006. This is the IMDb summary: Fifteen years ago, a group of men's lives were forever changed by a strange occurrence. Now, the same group of men will spend a night together - in terror.","sci-fi and aliens","phobia","madness","human","non-human entity","male","androgynous","30-50","unknown","present","house"
"2283","American Rickshaw","Florida",5.1,FALSE,"A Miami manual rickshaw driver finds himself entangled in the murder of a man he just met. He becomes part of a good vs evil battle between an ancient Chinese witch and an evangelist, who's actually the devil incarnate.",1989,39,"x80_90","The movie is ""American Rickshaw"" filmed in 1989. This is the IMDb summary: A Miami manual rickshaw driver finds himself entangled in the murder of a man he just met. He becomes part of a good vs evil battle between an ancient Chinese witch and an evangelist, who's actually the devil incarnate.","witches","devils, demons, and hell","classic and mythological","human","human with extra powers","male","male","18-30","50+","present","big city"
"2284","Amy's House of Art!","Florida",5.9,FALSE,"She has an art collection to die for.",2021,8,"over_20","The movie is ""Amy's House of Art!"" filmed in 2021. This is the IMDb summary: She has an art collection to die for.","home invasion","madness","haunted house","human","human","female","female","30-50","30-50","present","house"
"2285","Annihilation","Florida",6.9,FALSE,"A biologist signs up for a dangerous, secret expedition into a mysterious zone where the laws of nature don't apply.",2018,20,"x10_20","The movie is ""Annihilation"" filmed in 2018. This is the IMDb summary: A biologist signs up for a dangerous, secret expedition into a mysterious zone where the laws of nature don't apply.","Lovecraftian/Cosmic horror","sci-fi and aliens","body horror","human","non-human entity","female","androgynous","30-50","unknown","present","forest"
"2286","Attack of the Giant Leeches","Florida",3.6,FALSE,"A backwoods game warden and a local doctor discover that giant leeches are responsible for disappearances and deaths in a local swamp, but the local police don't believe them.",1959,29,"x50_60","The movie is ""Attack of the Giant Leeches"" filmed in 1959. This is the IMDb summary: A backwoods game warden and a local doctor discover that giant leeches are responsible for disappearances and deaths in a local swamp, but the local police don't believe them.","giant creatures","neo-monsters","nature","human","non-human entity","male","androgynous","30-50","unknown","present","rural"
"2287","Attack of the Giant Leeches","Florida",2,FALSE,"In a small town, the silence is shattered by a rash of disappearances at the swamp near the old deserted factories. Bodies are being discovered with no blood left in their bodies. It's up to a park ranger and the town sheriff to discover what ungodly creature is responsible for these deaths.",2008,52,"x00_10","The movie is ""Attack of the Giant Leeches"" filmed in 2008. This is the IMDb summary: In a small town, the silence is shattered by a rash of disappearances at the swamp near the old deserted factories. Bodies are being discovered with no blood left in their bodies. It's up to a park ranger and the town sheriff to discover what ungodly creature is responsible for these deaths.","giant creatures","neo-monsters","small creatures","human","non-human entity","male","androgynous","30-50","unknown","present","rural"
"2288","Attack of the Meth Gator","Florida",3.4,FALSE,"When an alligator eats a load of drugs all hell breaks loose in Florida.",2023,14,"over_20","The movie is ""Attack of the Meth Gator"" filmed in 2023. This is the IMDb summary: When an alligator eats a load of drugs all hell breaks loose in Florida.","nature","horror comedy","neo-monsters","human","non-human entity","unknown","androgynous","unknown","unknown","present","rural"
"2289","Barracuda","Florida",4.1,FALSE,"Little coastal town is being terrorized by deadly Barracudas.",1978,9,"x70_80","The movie is ""Barracuda"" filmed in 1978. This is the IMDb summary: Little coastal town is being terrorized by deadly Barracudas.","nature","giant creatures","phobia","human","non-human entity","male","androgynous","30-50","unknown","present","rural"
"2290","Big Daddy","Florida",5.9,FALSE,"A visitor to the Everglades swamps in Florida encounters and falls in love with an uneducated girl. But he finds competition for her affections from the unlikely and mysterious A. Beauregard Lincoln. He also discovers danger from nature in the form of vicious alligators and from the mystical in the form of a voodoo witch doctor.",1969,56,"x60_70","The movie is ""Big Daddy"" filmed in 1969. This is the IMDb summary: A visitor to the Everglades swamps in Florida encounters and falls in love with an uneducated girl. But he finds competition for her affections from the unlikely and mysterious A. Beauregard Lincoln. He also discovers danger from nature in the form of vicious alligators and from the mystical in the form of a voodoo witch doctor.","nature","witches","phobia","human","non-human entity","male","androgynous","18-30","unknown","present","rural"
"2291","Biohazard: The Alien Force","Florida",3.3,FALSE,"Triton Indutries has created a genetically-engineered creature using DNA from human sources. During the course of the experiment, however, the host mother carrying the mutant escapes from the laboratory compound, giving birth shortly thereafter. The intellient ""baby"" beings hunting down and killing its male DNA donors, while at the same time trying to mate with its female donors. The head of the lab wants to destroy the monster before the press can get wind of the story, but the former head of security wants to expose the whole thing.",1994,90,"x90_00","The movie is ""Biohazard: The Alien Force"" filmed in 1994. This is the IMDb summary: Triton Indutries has created a genetically-engineered creature using DNA from human sources. During the course of the experiment, however, the host mother carrying the mutant escapes from the laboratory compound, giving birth shortly thereafter. The intellient ""baby"" beings hunting down and killing its male DNA donors, while at the same time trying to mate with its female donors. The head of the lab wants to destroy the monster before the press can get wind of the story, but the former head of security wants to expose the whole thing.","neo-monsters","sci-fi and aliens","madness","human","non-human entity","male","androgynous","30-50","under 18","present","unknown"
"2292","Blood Diner","Florida",5.3,FALSE,"Two brothers are entrusted by their uncle to uphold the ritualistic cannibalism of the ancient cult of Sheetar. In order to do so, they have to prepare a feast of sacrifice for the resurrection of their goddess.",1987,37,"x80_90","The movie is ""Blood Diner"" filmed in 1987. This is the IMDb summary: Two brothers are entrusted by their uncle to uphold the ritualistic cannibalism of the ancient cult of Sheetar. In order to do so, they have to prepare a feast of sacrifice for the resurrection of their goddess.","cannibal","witches","horror comedy","human","non-human entity","male","androgynous","18-30","unknown","present","big city"
"2293","Blood Feast","Florida",5.1,FALSE,"An Egyptian caterer kills various women in suburban Miami to use their body parts to bring to life a dormant Egyptian goddess, while an inept police detective tries to track him down.",1963,32,"x60_70","The movie is ""Blood Feast"" filmed in 1963. This is the IMDb summary: An Egyptian caterer kills various women in suburban Miami to use their body parts to bring to life a dormant Egyptian goddess, while an inept police detective tries to track him down.","slasher","cannibal","classic and mythological","human","human","male","male","30-50","30-50","present","small town"
"2294","Blood Freak","Florida",3.6,FALSE,"A biker gets a job at a turkey farm and agrees to act as guinea pig for some chemicals that need tested, failing to anticipate the murderous side effects.",1972,29,"x70_80","The movie is ""Blood Freak"" filmed in 1972. This is the IMDb summary: A biker gets a job at a turkey farm and agrees to act as guinea pig for some chemicals that need tested, failing to anticipate the murderous side effects.","body horror","madness","nature","human","human","male","male","18-30","18-30","present","rural"
"2295","Blood Rage","Florida",5.8,FALSE,"As kids, Todd is institutionalized for a murder whilst his twin goes free. 10 years later, on Thanksgiving, Todd escapes and a killing spree begins in his neighborhood.",1987,28,"x80_90","The movie is ""Blood Rage"" filmed in 1987. This is the IMDb summary: As kids, Todd is institutionalized for a murder whilst his twin goes free. 10 years later, on Thanksgiving, Todd escapes and a killing spree begins in his neighborhood.","slasher","madness","phobia","human","human","male","male","18-30","18-30","present","small town"
"2296","Blood Stalkers","Florida",4.5,FALSE,"Two tourists in Florida are attacked by a chilling group of backwoods psychopaths.",1976,13,"x70_80","The movie is ""Blood Stalkers"" filmed in 1976. This is the IMDb summary: Two tourists in Florida are attacked by a chilling group of backwoods psychopaths.","backwoods horror","slasher","phobia","human","human","male","male","30-50","30-50","present","rural"
"2297","Brackish","Florida",5.8,FALSE,"A menacing spirit lurks in the mangroves waiting for an unsuspecting victim. She is the Brackish Undertaker, cursed by the crown she wears.",2021,23,"over_20","The movie is ""Brackish"" filmed in 2021. This is the IMDb summary: A menacing spirit lurks in the mangroves waiting for an unsuspecting victim. She is the Brackish Undertaker, cursed by the crown she wears.","ghost and spirits","classic and mythological","witches","human","non-human entity","unknown","female","unknown","unknown","present","rural"
"2298","Bride of the Monster","Florida",4.2,FALSE,"A mad doctor attempts to create atomic supermen.",1955,8,"x50_60","The movie is ""Bride of the Monster"" filmed in 1955. This is the IMDb summary: A mad doctor attempts to create atomic supermen.","madness","sci-fi and aliens","body horror","human","human","male","male","30-50","50+","present","house"
"2299","Cassadaga","Florida",5.2,FALSE,"A deaf woman who resurrects the ghost of a murdered young woman is forced by the spirit to a serial killer who turns his female victims into marionette dolls.",2011,29,"x10_20","The movie is ""Cassadaga"" filmed in 2011. This is the IMDb summary: A deaf woman who resurrects the ghost of a murdered young woman is forced by the spirit to a serial killer who turns his female victims into marionette dolls.","ghost and spirits","slasher","phobia","human","human","female","male","18-30","30-50","present","small town"
"2300","Children Shouldn't Play with Dead Things","Florida",5.4,FALSE,"Six friends in a theatrical troupe dig up a corpse on an abandoned island to use in a mock Satanic ritual. It backfires with deadly consequences.",1972,26,"x70_80","The movie is ""Children Shouldn't Play with Dead Things"" filmed in 1972. This is the IMDb summary: Six friends in a theatrical troupe dig up a corpse on an abandoned island to use in a mock Satanic ritual. It backfires with deadly consequences.","zombies","devils, demons, and hell","folk horror","human","non-human entity","male","androgynous","18-30","unknown","present","rural"
"2301","Church of Darkness","Florida",4,FALSE,"David, a Bible-toting teenage outcast, new to Mission Point, FL discovers a mysterious underground society that is secretly led by the mayor of this small town. Learning of their plans for sacrifice, David is forced to test his faith to save the citizens from the Wheelmakers and their evil intentions. Is it too late? Find out on the Eve of Enshrinement.",2022,62,"over_20","The movie is ""Church of Darkness"" filmed in 2022. This is the IMDb summary: David, a Bible-toting teenage outcast, new to Mission Point, FL discovers a mysterious underground society that is secretly led by the mayor of this small town. Learning of their plans for sacrifice, David is forced to test his faith to save the citizens from the Wheelmakers and their evil intentions. Is it too late? Find out on the Eve of Enshrinement.","devils, demons, and hell","folk horror","madness","human","human","male","male","under 18","50+","present","small town"
"2302","Cold Moon","Florida",4.6,FALSE,"Cold Moon takes place in tiny Babylon, Fla., where the granddaughter of Clark’s character is murdered by a mysterious assailant, her body sunk into the black waters of the Styx River — the river where her parents disappeared from their boat a decade earlier. Suspicion falls on a duplicitous banker and his wealthy father, played by Stewart and Lloyd.",2016,58,"x10_20","The movie is ""Cold Moon"" filmed in 2016. This is the IMDb summary: Cold Moon takes place in tiny Babylon, Fla., where the granddaughter of Clark’s character is murdered by a mysterious assailant, her body sunk into the black waters of the Styx River — the river where her parents disappeared from their boat a decade earlier. Suspicion falls on a duplicitous banker and his wealthy father, played by Stewart and Lloyd.","ghost and spirits","slasher","small creatures","human","non-human entity","female","androgynous","under 18","unknown","present","small town"
"2303","Color Me Blood Red","Florida",5.2,FALSE,"A crackpot artist kills various people to use their blood as his new crimson red color for his paintings.",1965,19,"x60_70","The movie is ""Color Me Blood Red"" filmed in 1965. This is the IMDb summary: A crackpot artist kills various people to use their blood as his new crimson red color for his paintings.","madness","slasher","body horror","human","human","male","male","30-50","30-50","present","small town"
"2304","Conspiracy Cruise","Florida",6.2,FALSE,"A cruise ship vacation for conspiracy theorists takes a turn for the surreal when their most outlandish theories come true on board.",2019,22,"x10_20","The movie is ""Conspiracy Cruise"" filmed in 2019. This is the IMDb summary: A cruise ship vacation for conspiracy theorists takes a turn for the surreal when their most outlandish theories come true on board.","Lovecraftian/Cosmic horror","madness","horror comedy","human","non-human entity","unknown","androgynous","30-50","unknown","present","house"
"2305","Crawl","Florida",6.2,FALSE,"A young woman, while attempting to save her father during a category 5 hurricane, finds herself trapped in a flooding house and must fight for her life against alligators.",2019,29,"x10_20","The movie is ""Crawl"" filmed in 2019. This is the IMDb summary: A young woman, while attempting to save her father during a category 5 hurricane, finds herself trapped in a flooding house and must fight for her life against alligators.","nature","phobia","body horror","human","non-human entity","female","androgynous","18-30","unknown","present","house"
"2306","Crawlers","Florida",5.6,FALSE,"On Saint Patrick's day-a night of wild parties and drunken revelry-three unlikely friends band together to save a college town from a vicious horde of body-switching aliens.",2020,30,"over_20","The movie is ""Crawlers"" filmed in 2020. This is the IMDb summary: On Saint Patrick's day-a night of wild parties and drunken revelry-three unlikely friends band together to save a college town from a vicious horde of body-switching aliens.","sci-fi and aliens","neo-monsters","horror comedy","human","non-human entity","unknown","androgynous","18-30","unknown","present","small town"
"2307","Crazy Lake","Florida",3.5,FALSE,"Group of coeds go looking for fun at cabin on the lake and find the cabin wasn't always used for rest and relaxation.",2016,23,"x10_20","The movie is ""Crazy Lake"" filmed in 2016. This is the IMDb summary: Group of coeds go looking for fun at cabin on the lake and find the cabin wasn't always used for rest and relaxation.","slasher","backwoods horror","phobia","human","human","unknown","unknown","18-30","unknown","present","forest"
"2308","Creeper","Florida",4.8,FALSE,"Intending to get their revenge against the online weirdos lurking undetected, four friends try to expose a hardened pervert, but when their plan falls short of expectations, will they live to breathe another day?",2012,34,"x10_20","The movie is ""Creeper"" filmed in 2012. This is the IMDb summary: Intending to get their revenge against the online weirdos lurking undetected, four friends try to expose a hardened pervert, but when their plan falls short of expectations, will they live to breathe another day?","slasher","madness","phobia","human","human","unknown","male","18-30","30-50","present","big city"
"2309","Cruel Jaws","Florida",3.4,FALSE,"A huge shark terrorizes a beach in Florida, and the locals try everything to kill it.",1995,16,"x90_00","The movie is ""Cruel Jaws"" filmed in 1995. This is the IMDb summary: A huge shark terrorizes a beach in Florida, and the locals try everything to kill it.","nature","giant creatures","phobia","human","non-human entity","male","androgynous","30-50","unknown","present","small town"
"2310","Cruel Summer","Florida",3.1,FALSE,"College students gather at Lakehouse for an '80s murder mystery party. I didn't know that a crazy killer had joined. Can anyone survive this cruel summer as bodies pile up?",2021,30,"over_20","The movie is ""Cruel Summer"" filmed in 2021. This is the IMDb summary: College students gather at Lakehouse for an '80s murder mystery party. I didn't know that a crazy killer had joined. Can anyone survive this cruel summer as bodies pile up?","slasher","home invasion","phobia","human","human","unknown","unknown","18-30","18-30","present","house"
"2311","Daddy’s Girl","Florida",4.8,FALSE,"A girl's bright smile masks a psychopathic soul that will eliminate anyone who comes between her and her doting father.",1996,20,"x90_00","The movie is ""Daddy’s Girl"" filmed in 1996. This is the IMDb summary: A girl's bright smile masks a psychopathic soul that will eliminate anyone who comes between her and her doting father.","madness","slasher","phobia","human","human","female","female","under 18","under 18","present","house"
"2312","Day of the Dead","Florida",7.1,FALSE,"As the world is overrun by zombies, a group of scientists and military personnel sheltering in an underground bunker in Florida must determine how they should deal with the undead horde.",1985,31,"x80_90","The movie is ""Day of the Dead"" filmed in 1985. This is the IMDb summary: As the world is overrun by zombies, a group of scientists and military personnel sheltering in an underground bunker in Florida must determine how they should deal with the undead horde.","zombies","post-apocalyptic","phobia","human","non-human entity","female","androgynous","18-30","unknown","present","house"
"2313","Day of the Reaper","Florida",4.1,FALSE,"Five women on vacation are stalked by a hooded cannibal killer in the town of Sunnyville Florida. Silly antics and H.G. Lewis-style gore follow the survivors in this camp super-8 epic.",1984,33,"x80_90","The movie is ""Day of the Reaper"" filmed in 1984. This is the IMDb summary: Five women on vacation are stalked by a hooded cannibal killer in the town of Sunnyville Florida. Silly antics and H.G. Lewis-style gore follow the survivors in this camp super-8 epic.","slasher","cannibal","splatter","human","human","female","male","18-30","30-50","present","small town"
"2314","Dead Mall","Florida",4.4,FALSE,"A modern retelling of the Minotaur myth set in a desolate Downtown Miami mall.",2020,14,"over_20","The movie is ""Dead Mall"" filmed in 2020. This is the IMDb summary: A modern retelling of the Minotaur myth set in a desolate Downtown Miami mall.","classic and mythological","neo-monsters","phobia","human","non-human entity","unknown","androgynous","unknown","unknown","present","big city"
"2315","Dead Sea","Florida",5.3,FALSE,"Stranded in the open sea after a fatal accident, a young woman and her two friends are rescued by a fishing vessel's captain, unaware that the ship harbors a chilling secret.",2024,31,"over_20","The movie is ""Dead Sea"" filmed in 2024. This is the IMDb summary: Stranded in the open sea after a fatal accident, a young woman and her two friends are rescued by a fishing vessel's captain, unaware that the ship harbors a chilling secret.","phobia","classic and mythological","madness","human","non-human entity","female","androgynous","18-30","unknown","present","unknown"
